genome_id,#ID,DGRcomp
3300008299_26,3300008299.a:Ga0114868_1002450,TR
3300029103_16,3300029103.a:Ga0169220_101372,TR
3300029004_6,3300029004.a:Ga0169688_100085,TR
3300029002_7,3300029002.a:Ga0169634_100228,TR
3300029577_28,3300029577.a:Ga0244883_101281,TR
3300029094_10,3300029094.a:Ga0169183_100111,TR
3300008479_28,3300008479.a:Ga0114883_1000170,TR
3300029747_27,3300029747.a:Ga0245228_102878,TR
3300029841_26,3300029841.a:Ga0245272_100317,TR
3300029815_34,3300029815.a:Ga0244882_1002184,TR
3300029501_14,3300029501.a:Ga0244796_101460,TR
3300008733_13,3300008733.a:Ga0115617_102111,TR
3300008672_42,3300008672.a:Ga0111519_106221,TR
3300007184_22,3300007184.a:Ga0103258_103640,TR
3300029028_11,3300029028.a:Ga0169666_100059,TR
3300014572_8,3300014572.a:Ga0134457_1000015,TR
3300008716_20,3300008716.a:Ga0113874_102609,TR
3300014782_12,3300014782.a:Ga0134389_1000032,TR
3300007361_13,3300007361.a:Ga0104787_100030,TR
3300028581_23,3300028581.a:Ga0247840_10016850,TR
3300014794_17,3300014794.a:Ga0134448_1000157,TR
3300029533_4,3300029533.a:Ga0245046_100781,TR
3300007299_20,3300007299.a:Ga0104319_1000167,TR
3300029739_29,3300029739.a:Ga0245187_100411,TR
3300029622_37,3300029622.a:Ga0245124_1003470,TR
3300029492_26,3300029492.a:Ga0244090_100945,TR
3300014789_12,3300014789.a:Ga0134406_1000033,TR
3300008299_25,3300008299.a:Ga0114868_1000952,TR
3300029881_15,3300029881.a:Ga0245307_1000580,TR
3300025682_87,3300025682.a:Ga0209718_1002381,TR
3300017522_8,3300017522.a:Ga0185323_1003514,TR
3300007298_17,3300007298.a:Ga0104838_101345,TR
3300005460_46,3300005460.a:Ga0073908_1000149,TR
3300011764_2,3300011764.a:Ga0122012_100011,TR
3300010998_17,3300010998.a:Ga0139311_1007302,TR
3300005838_13,3300005838.a:Ga0008649_10000693,TR
3300029393_7,3300029393.a:Ga0243986_1000011,TR
3300029369_5,3300029369.a:Ga0243960_100046,TR
3300014803_12,3300014803.a:Ga0134430_1000010,TR
3300011825_7,3300011825.a:Ga0120832_100011,TR
3300011750_1,3300011750.a:Ga0122232_100017,TR
3300008726_3,3300008726.a:Ga0113881_100043,TR
3300008301_1,3300008301.a:Ga0114871_100013,TR
3300008149_4,3300008149.a:Ga0114293_100008,TR
3300029820_17,3300029820.a:Ga0245026_100358,TR
3300029748_16,3300029748.a:Ga0245205_1000067,TR
3300029703_24,3300029703.a:Ga0245234_100095,TR
3300029692_16,3300029692.a:Ga0245170_100133,TR
3300029595_9,3300029595.a:Ga0245140_100333,TR
3300029498_8,3300029498.a:Ga0244218_100034,TR
3300029444_21,3300029444.a:Ga0243728_1000086,TR
3300028581_33,3300028581.a:Ga0247840_10000130,TR
3300028189_11,3300028189.a:Ga0257127_1002123,TR
3300027276_18,3300027276.a:Ga0208297_1000383,TR
3300026288_4,3300026288.a:Ga0209572_1000137,TR
3300026288_25,3300026288.a:Ga0209572_1000178,TR
3300025859_62,3300025859.a:Ga0209096_1000193,TR
3300017532_13,3300017532.a:Ga0185302_10009931,TR
3300014552_8,3300014552.a:Ga0134450_100023,TR
3300014545_3,3300014545.a:Ga0134392_100004,TR
3300011977_7,3300011977.a:Ga0120375_1000428,TR
3300011951_3,3300011951.a:Ga0120977_100043,TR
3300008728_2,3300008728.a:Ga0115675_100012,TR
3300007210_2,3300007210.a:Ga0103359_100270,TR
3300006428_5,3300006428.a:Ga0100050_10002,TR
3300029885_15,3300029885.a:Ga0245329_100622,TR
3300029856_23,3300029856.a:Ga0245296_102465,TR
3300029795_17,3300029795.a:Ga0243742_1000536,TR
3300029778_24,3300029778.a:Ga0243887_1000175,TR
3300029757_5,3300029757.a:Ga0243876_100013,TR
3300029550_11,3300029550.a:Ga0245019_100020,TR
3300029116_10,3300029116.a:Ga0168822_100166,TR
3300029090_7,3300029090.a:Ga0169218_100209,TR
