genome_id;contig_id;ORF_id;ORF_length_bp;ORF_strand;ORF_start;ORF_end;VR;VR_strand;VR_start;VR_end;VR_position;TR_orig_start;TR_orig_end;VR_length_bp;TR_length_bp;VR_A-N mut;VR_non A-N mut;database;ORF_ftype;ftype;gene;EC_number;COG;product;metagenome_id;genome_length;num_contigs;otu_id;biome;ecosystem_category;ecosystem_type;habitat;domain;phylum
3300025682_87;3300025682.a:Ga0209718_1002381;3300025682_87___00242;1017;+;1036;2052;VR;+;1532;5363;middle;8534;8583;3832;50;0;0;Prodigal:002006;CDS;CDS;srkA;2.7.11.1;;Stress response kinase A;3300025682;710561;70;OTU-11567;Engineered;Wastewater;Anaerobic digestor;Anaerobic digestor sludge;d__Bacteria;p__Patescibacteria
3300025682_87;3300025682.a:Ga0209718_1002381;3300025682_87___00244;1188;+;3015;4202;VR;+;4112;4205;end;4703;4752;94;50;12;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025682;710561;70;OTU-11567;Engineered;Wastewater;Anaerobic digestor;Anaerobic digestor sludge;d__Bacteria;p__Patescibacteria
3300025682_87;3300025682.a:Ga0209718_1002381;3300025682_87___00244;1188;+;3015;4202;VR;+;4112;4205;end;8534;8583;94;50;12;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025682;710561;70;OTU-11567;Engineered;Wastewater;Anaerobic digestor;Anaerobic digestor sludge;d__Bacteria;p__Patescibacteria
3300025682_87;3300025682.a:Ga0209718_1002381;3300025682_87___00246;507;+;4932;5438;VR;+;5362;9198;end;4703;4752;3837;50;3;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025682;710561;70;OTU-11567;Engineered;Wastewater;Anaerobic digestor;Anaerobic digestor sludge;d__Bacteria;p__Patescibacteria
3300025682_87;3300025682.a:Ga0209718_1002381;3300025682_87___00246;507;+;4932;5438;VR;+;1532;5363;;8534;8583;3832;50;0;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025682;710561;70;OTU-11567;Engineered;Wastewater;Anaerobic digestor;Anaerobic digestor sludge;d__Bacteria;p__Patescibacteria
3300025682_87;3300025682.a:Ga0209718_1002381;3300025682_87___00249;1188;+;6846;8033;VR;+;7943;8036;end;4703;4752;94;50;12;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025682;710561;70;OTU-11567;Engineered;Wastewater;Anaerobic digestor;Anaerobic digestor sludge;d__Bacteria;p__Patescibacteria
3300025682_87;3300025682.a:Ga0209718_1002381;3300025682_87___00249;1188;+;6846;8033;VR;+;7943;8036;end;8534;8583;94;50;12;1;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025682;710561;70;OTU-11567;Engineered;Wastewater;Anaerobic digestor;Anaerobic digestor sludge;d__Bacteria;p__Patescibacteria
3300025682_87;3300025682.a:Ga0209718_1002381;3300025682_87___00251;1011;+;8763;9773;VR;+;5362;9198;;4703;4752;3837;50;3;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025682;710561;70;OTU-11567;Engineered;Wastewater;Anaerobic digestor;Anaerobic digestor sludge;d__Bacteria;p__Patescibacteria
3300025642_40;3300025642.a:Ga0208648_1000010;3300025642_40___00692;792;+;78276;79067;VR;+;78862;78941;end;79251;79300;80;50;11;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025642;1001184;8;OTU-16094;Aquatic;Non-marine Saline and Alkaline;Non-marine Saline and Alkaline;Saline lake;d__Archaea;p__Nanoarchaeota
3300025642_40;3300025642.a:Ga0208648_1000010;3300025642_40___00761;792;+;130949;131740;VR;+;131535;131614;end;79251;79300;80;50;11;0;Prodigal:002006;CDS;CDS;;;;hypothetical protein;3300025642;1001184;8;OTU-16094;Aquatic;Non-marine Saline and Alkaline;Non-marine Saline and Alkaline;Saline lake;d__Archaea;p__Nanoarchaeota
